날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2013-02-01,19233912.833333332,34354.666666666664,15433.916666666666,3838699.6666666665,53744.416666666664,95443.33333333333,1050452.25,2895907.0833333335,1018676.9166666666,1993380.75,511311.4166666667,707127.5,423134.75,870674.3333333334,987048.3333333334,645379.0833333334,1499808.1666666667,1376021.0,359447.8333333333,857867.4166666666
2013-03-01,19294438.666666668,34507.333333333336,15452.833333333334,3851721.3333333335,53893.833333333336,95783.66666666667,1055301.5,2906074.1666666665,1021438.8333333334,2000088.5,512837.8333333333,707009.0,425167.5,876107.6666666666,990511.6666666666,645705.1666666666,1501077.3333333333,1384237.0,359766.6666666667,857756.8333333334
2013-04-01,19354964.5,34660.0,15471.75,3864743.0,54043.25,96124.0,1060150.75,2916241.25,1024200.75,2006796.25,514364.25,706890.5,427200.25,881541.0,993975.0,646031.25,1502346.5,1392453.0,360085.5,857646.25
2013-05-01,19415490.333333332,34812.666666666664,15490.666666666666,3877764.6666666665,54192.666666666664,96464.33333333333,1065000.0,2926408.3333333335,1026962.6666666666,2013504.0,515890.6666666667,706772.0,429233.0,886974.3333333334,997438.3333333334,646357.3333333334,1503615.6666666667,1400669.0,360404.3333333333,857535.6666666666
2013-06-01,19476016.166666668,34965.333333333336,15509.583333333334,3890786.3333333335,54342.083333333336,96804.66666666667,1069849.25,2936575.4166666665,1029724.5833333334,2020211.75,517417.0833333333,706653.5,431265.75,892407.6666666666,1000901.6666666666,646683.4166666666,1504884.8333333333,1408885.0,360723.1666666667,857425.0833333334
2013-07-01,19536542.0,35118.0,15528.5,3903808.0,54491.5,97145.0,1074698.5,2946742.5,1032486.5,2026919.5,518943.5,706535.0,433298.5,897841.0,1004365.0,647009.5,1506154.0,1417101.0,361042.0,857314.5
2013-08-01,19597067.833333332,35270.666666666664,15547.416666666666,3916829.6666666665,54640.916666666664,97485.33333333333,1079547.75,2956909.5833333335,1035248.4166666666,2033627.25,520469.9166666667,706416.5,435331.25,903274.3333333334,1007828.3333333334,647335.5833333334,1507423.1666666667,1425317.0,361360.8333333333,857203.9166666666
2013-09-01,19657593.666666668,35423.333333333336,15566.333333333334,3929851.3333333335,54790.333333333336,97825.66666666667,1084397.0,2967076.6666666665,1038010.3333333334,2040335.0,521996.3333333333,706298.0,437364.0,908707.6666666666,1011291.6666666666,647661.6666666666,1508692.3333333333,1433533.0,361679.6666666667,857093.3333333334
2013-10-01,19718119.5,35576.0,15585.25,3942873.0,54939.75,98166.0,1089246.25,2977243.75,1040772.25,2047042.75,523522.75,706179.5,439396.75,914141.0,1014755.0,647987.75,1509961.5,1441749.0,361998.5,856982.75
2013-11-01,19778645.333333332,35728.666666666664,15604.166666666666,3955894.6666666665,55089.166666666664,98506.33333333333,1094095.5,2987410.8333333335,1043534.1666666666,2053750.5,525049.1666666666,706061.0,441429.5,919574.3333333334,1018218.3333333334,648313.8333333334,1511230.6666666667,1449965.0,362317.3333333333,856872.1666666666
